created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2020-06-26 10:05:21 UTC,55,29.40,54,81,,,,
2020-06-26 10:05:38 UTC,56,29.50,54,81,,,,
2020-06-26 10:05:54 UTC,57,29.50,54,81,,,,
2020-06-26 10:06:10 UTC,58,29.50,53,79,,,,
2020-06-26 10:06:26 UTC,59,29.50,54,81,,,,
2020-06-26 10:06:42 UTC,60,29.50,102,153,,,,
2020-06-26 10:06:58 UTC,61,29.50,81,121,,,,
2020-06-26 10:07:14 UTC,62,29.40,53,79,,,,
2020-06-26 10:07:30 UTC,63,29.40,55,82,,,,
2020-06-26 10:07:46 UTC,64,29.40,102,153,,,,
2020-06-26 10:08:02 UTC,65,29.40,45,67,,,,
2020-06-26 10:08:17 UTC,66,29.40,71,106,,,,
2020-06-26 10:08:33 UTC,67,29.40,87,130,,,,
2020-06-26 10:08:49 UTC,68,29.40,55,82,,,,
2020-06-26 10:09:05 UTC,69,29.40,54,81,,,,
2020-06-26 10:09:21 UTC,70,29.40,54,81,,,,
2020-06-26 10:09:37 UTC,71,29.50,54,81,,,,
2020-06-26 10:09:53 UTC,72,29.50,54,81,,,,
2020-06-26 10:10:09 UTC,73,29.50,53,79,,,,
2020-06-26 10:10:26 UTC,74,29.50,54,81,,,,
2020-06-26 10:10:42 UTC,75,29.50,54,81,,,,
2020-06-26 10:10:58 UTC,76,29.50,53,79,,,,
2020-06-26 10:11:14 UTC,77,29.40,54,81,,,,
2020-06-26 10:11:30 UTC,78,29.40,54,81,,,,
2020-06-26 10:11:46 UTC,79,29.50,57,85,,,,
2020-06-26 10:12:03 UTC,80,29.50,54,81,,,,
2020-06-26 10:12:19 UTC,81,29.50,54,81,,,,
2020-06-26 10:12:35 UTC,82,29.50,53,79,,,,
2020-06-26 10:12:51 UTC,83,29.50,55,82,,,,
2020-06-26 10:13:07 UTC,84,29.50,54,81,,,,
2020-06-26 10:13:23 UTC,85,29.60,56,84,,,,
2020-06-26 10:13:40 UTC,86,29.50,54,81,,,,
2020-06-26 10:13:56 UTC,87,29.60,44,66,,,,
2020-06-26 10:14:43 UTC,88,29.60,46,69,,,,
2020-06-26 10:14:59 UTC,89,29.50,54,81,,,,
2020-06-26 10:15:15 UTC,90,29.50,55,82,,,,
2020-06-26 10:15:51 UTC,91,29.50,54,81,,,,
2020-06-26 10:16:06 UTC,92,29.50,78,117,,,,
2020-06-26 10:16:22 UTC,93,29.40,71,106,,,,
2020-06-26 10:16:37 UTC,94,29.40,54,81,,,,
2020-06-26 10:16:52 UTC,95,29.50,102,153,,,,
2020-06-26 10:17:08 UTC,96,29.50,50,75,,,,
2020-06-26 10:17:23 UTC,97,29.50,48,72,,,,
2020-06-26 10:17:39 UTC,98,29.50,63,94,,,,
2020-06-26 10:17:54 UTC,99,29.50,52,78,,,,
2020-06-26 10:18:10 UTC,100,29.50,54,81,,,,
2020-06-26 10:18:25 UTC,101,29.50,54,81,,,,
2020-06-26 10:18:41 UTC,102,29.50,54,81,,,,
2020-06-26 10:18:56 UTC,103,29.50,54,81,,,,
2020-06-26 10:19:43 UTC,104,29.50,53,79,,,,
